;index_classifier;date;reunion;course;numPmu;place;nom;rapport;specialite;hippo_code
39;kneighborsclassifier;17/02/2023;4;3;2.0;1;HOLLY COLOUR;15.0;plat;CHA
41;kneighborsclassifier;17/02/2023;4;3;4.0;1;HADLEIGH;8.4;plat;CHA
308;sgdclassifier;18/02/2023;4;4;8.0;1;INNEE DU RIL;2.6;trot attele;LAV
10;sgdclassifier;17/02/2023;4;4;4.0;1;BIENNE;7.9;plat;CHA
12;sgdclassifier;17/02/2023;4;4;6.0;1;FELI CHOP;8.2;plat;CHA
14;sgdclassifier;17/02/2023;4;4;8.0;1;VALENTO;3.4;plat;CHA
17;kneighborsclassifier;17/02/2023;4;4;11.0;1;IZAKAYA;8.3;plat;CHA
65;sgdclassifier;17/02/2023;4;5;2.0;1;LES TROIS VALLEES;6.7;plat;CHA
40;decisiontreeclassifier;18/02/2023;4;5;6.0;1;FASHION MAKER;2.8;trot monte;LAV
40;adaboostclassifier;18/02/2023;4;5;6.0;1;FASHION MAKER;2.8;trot monte;LAV
295;sgdclassifier;18/02/2023;4;6;4.0;1;JACKPOT MADRIK;3.7;trot attele;LAV
296;sgdclassifier;18/02/2023;4;6;5.0;1;JEAN DE LA LUNE;8.0;trot attele;LAV
301;sgdclassifier;18/02/2023;4;6;11.0;1;JACKSON TOUCH;6.8;trot attele;LAV
48;sgdclassifier;17/02/2023;4;6;1.0;1;ZWIALH;4.8;plat;CHA
51;sgdclassifier;17/02/2023;4;6;5.0;1;ALP;10.0;plat;CHA
53;sgdclassifier;17/02/2023;4;6;7.0;1;LINING UP;6.2;plat;CHA
48;kneighborsclassifier;17/02/2023;4;6;1.0;1;ZWIALH;4.8;plat;CHA
369;sgdclassifier;18/02/2023;4;7;11.0;1;HEDIC GEMA;14.0;trot attele;LAV
92;sgdclassifier;17/02/2023;4;7;5.0;1;TORONET;38.0;plat;CHA
91;kneighborsclassifier;17/02/2023;4;7;3.0;1;SON ON FIRE;25.0;plat;CHA
32;kneighborsclassifier;17/02/2023;4;8;12.0;1;LADY CHAPEL;6.1;plat;CHA
78;sgdclassifier;17/02/2023;4;9;4.0;1;LOVELY ANGEL;4.5;plat;CHA
78;kneighborsclassifier;17/02/2023;4;9;4.0;1;LOVELY ANGEL;4.5;plat;CHA
85;kneighborsclassifier;17/02/2023;4;9;11.0;1;TOPINAMBUR;10.0;plat;CHA
204;sgdclassifier;17/02/2023;5;1;6.0;1;LOU DIAMOND;6.8;trot attele;WOL
206;sgdclassifier;17/02/2023;5;1;10.0;1;PANTA RHEI;1.1;trot attele;WOL
189;sgdclassifier;17/02/2023;5;2;1.0;1;KAROLA;6.2;trot attele;WOL
190;sgdclassifier;17/02/2023;5;2;5.0;1;KILIMANJARO;4.1;trot attele;WOL
192;sgdclassifier;17/02/2023;5;2;7.0;1;KING SCHERMER;2.4;trot attele;WOL
210;sgdclassifier;17/02/2023;5;3;9.0;1;MEXX LADY;4.3;trot attele;WOL
290;kneighborsclassifier;18/02/2023;5;3;5.0;1;MR PANTOJA;1.2;plat;SIO
290;decisiontreeclassifier;18/02/2023;5;3;5.0;1;MR PANTOJA;1.2;plat;SIO
289;adaboostclassifier;18/02/2023;5;3;2.0;1;PERSONALMENTE;2.5;plat;SIO
290;adaboostclassifier;18/02/2023;5;3;5.0;1;MR PANTOJA;1.2;plat;SIO
208;sgdclassifier;17/02/2023;5;4;7.0;1;JOYAU D'ALBATRE;1.7;trot attele;WOL
292;sgdclassifier;18/02/2023;5;4;6.0;1;OBIA STAR;1.1;plat;SIO
292;kneighborsclassifier;18/02/2023;5;4;6.0;1;OBIA STAR;1.1;plat;SIO
202;sgdclassifier;17/02/2023;5;6;3.0;1;MUSCLE REX;1.1;trot attele;WOL
293;kneighborsclassifier;18/02/2023;5;6;6.0;1;SOFWARE;1.1;plat;SIO
194;sgdclassifier;17/02/2023;5;7;2.0;1;MOWGLI HANOVER;4.3;trot attele;WOL
195;sgdclassifier;17/02/2023;5;7;6.0;1;NOVA RAINHA;4.3;trot attele;WOL
196;sgdclassifier;17/02/2023;5;7;7.0;1;MOHAWK RIVER;1.4;trot attele;WOL
